id,mine_id,sample_code,sample_date,depth_meters,manganese_grade,rock_type,latitude,longitude,grade_score,depth_score,rock_score,geological_potential_score,potential_class
1,1,GS-001,2026-01-05,10.0,32.5,Quartzite,21.1458,79.0882,40,40,70,47.5,LOW
2,1,GS-002,2026-01-12,15.0,41.2,Manganese Ore,21.1465,79.089,70,60,100,75.0,HIGH
3,1,GS-003,2026-01-20,20.0,27.8,Schist,21.1472,79.0875,40,60,50,47.5,LOW
4,1,GS-004,2026-02-02,25.0,45.6,Manganese Ore,21.1449,79.0895,100,80,100,95.0,HIGH
5,1,GS-005,2026-02-10,12.0,35.4,Laterite,21.146,79.0901,70,40,30,52.5,MEDIUM
6,1,GS-006,2026-02-18,30.0,22.7,Schist,21.1478,79.0888,20,80,50,42.5,LOW
7,1,GS-007,2026-03-03,18.0,39.8,Manganese Ore,21.1445,79.0872,70,60,100,75.0,HIGH
8,1,GS-008,2026-03-11,22.0,31.6,Quartzite,21.1452,79.0905,40,60,70,52.5,MEDIUM
9,1,GS-009,2026-03-20,35.0,47.3,Manganese Ore,21.1481,79.0898,100,100,100,100.0,HIGH
10,1,GS-010,2026-03-28,16.0,29.5,Laterite,21.1469,79.0869,40,60,30,42.5,LOW
11,1,GS-011,2026-04-06,28.0,42.7,Manganese Ore,21.1442,79.0884,70,80,100,80.0,HIGH
12,1,GS-012,2026-04-15,14.0,34.1,Quartzite,21.1475,79.0902,40,40,70,47.5,LOW
13,1,GS-013,2026-04-24,32.0,24.9,Schist,21.1457,79.087,20,80,50,42.5,LOW
14,1,GS-014,2026-05-04,19.0,44.5,Manganese Ore,21.1484,79.0889,70,60,100,75.0,HIGH
15,1,GS-015,2026-05-13,26.0,37.9,Laterite,21.1463,79.0893,70,80,30,62.5,MEDIUM
16,1,GS-016,2026-05-22,40.0,49.1,Manganese Ore,21.1448,79.09,100,100,100,100.0,HIGH
17,1,GS-017,2026-06-01,21.0,30.8,Quartzite,21.147,79.0878,40,60,70,52.5,MEDIUM
18,1,GS-018,2026-06-10,17.0,40.6,Manganese Ore,21.1455,79.0897,70,60,100,75.0,HIGH
19,1,GS-019,2026-06-19,29.0,26.4,Schist,21.148,79.0874,40,80,50,52.5,MEDIUM
20,1,GS-020,2026-06-27,24.0,43.8,Manganese Ore,21.1467,79.0886,70,60,100,75.0,HIGH
