mine_id,production_date,planned_production,actual_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity,equipment_operating_hours,equipment_downtime_hours,average_utilization,average_performance_score,planned_delay_hours,actual_delay_hours,blast_count,status,downtime_ratio,blasting_delay_ratio,equipment_downtime_ratio,equipment_performance_risk,rainfall_risk
1,2026-01-01,500.0,459.27,20.25,0.59,3.39,13.11,34.3,30.01,67.64,17.072,17.35,83.304,78.024,0.75,2.65,3,Highly Delayed,0.029135802469135802,0.16740740740740742,0.5040381151589101,21.976,1
1,2026-01-02,500.0,425.05,19.15,2.44,1.02,24.78,46.13,28.05,78.93,15.608,18.6,81.25399999999999,72.34,1.56,2.75,2,Highly Delayed,0.12741514360313316,0.05326370757180157,0.543732460243218,27.659999999999997,2
1,2026-01-03,500.0,428.8,20.71,1.4,1.8,6.36,30.99,29.44,52.89,18.592,24.85,78.75,68.70599999999999,0.31,0.43,4,On Time,0.06760019314340897,0.08691453404152583,0.5720270705768611,31.29400000000001,1
1,2026-01-04,500.0,434.58,16.59,3.58,1.54,10.19,36.53,28.97,65.12,17.268,16.3,84.956,79.848,0.67,0.95,3,On Time,0.21579264617239302,0.09282700421940929,0.4855815061963776,20.152,1
1,2026-01-05,500.0,464.4,19.98,1.9,1.82,10.23,33.24,27.84,62.31,17.59,14.34,86.146,81.252,0.04,1.98,4,Delayed,0.09509509509509509,0.09109109109109109,0.4491074224866896,18.748000000000005,1
1,2026-01-06,500.0,412.09,17.63,4.23,1.25,18.0,40.89,28.66,71.53,17.036,14.17,86.066,80.628,1.88,1.88,4,Delayed,0.239931934203063,0.07090187180941578,0.454079343715952,19.372,2
1,2026-01-07,500.0,453.52,20.37,3.97,0.26,21.26,40.62,29.82,75.01,17.468,14.04,86.476,78.99600000000001,0.37,0.98,2,On Time,0.1948944526264114,0.012763868433971527,0.44560111717659007,21.00399999999999,2
1,2026-01-08,500.0,425.98,17.95,3.78,2.23,15.41,36.74,29.45,65.69,16.142000000000003,13.25,86.828,82.116,0.01,0.06,3,On Time,0.2105849582172702,0.12423398328690809,0.45080293957539463,17.884,2
1,2026-01-09,500.0,415.58,19.37,3.97,1.73,1.2,28.32,31.27,52.29,17.064,18.24,82.622,76.116,1.22,1.5,4,Delayed,0.20495611770779557,0.08931337119256581,0.5166553365057783,23.884,0
1,2026-01-10,500.0,433.56,19.05,4.58,0.87,18.2,42.02,27.85,71.97,18.47,11.0,89.476,83.49199999999999,1.95,2.41,2,Delayed,0.24041994750656168,0.04566929133858268,0.3732609433322023,16.50800000000001,2
1,2026-01-11,500.0,409.89,16.97,4.68,2.83,33.94,50.5,28.49,82.51,18.08,10.73,89.416,84.244,1.57,1.97,3,Delayed,0.27578078962875663,0.16676487919858576,0.37244012495661233,15.756,2
1,2026-01-12,500.0,452.41,21.38,1.93,0.39,9.5,31.01,29.59,66.72,18.806,15.93,85.452,78.94800000000001,1.97,2.9,1,Highly Delayed,0.09027128157156221,0.018241347053320863,0.4586020267157991,21.051999999999992,1
1,2026-01-13,500.0,473.34,17.33,1.04,1.18,9.83,32.13,30.15,65.6,16.034,14.6,84.59400000000001,78.162,1.22,1.56,3,Delayed,0.06001154068090018,0.06809001731102135,0.4765946334138539,21.837999999999994,1
1,2026-01-14,500.0,416.27,21.83,4.83,0.88,25.52,46.36,27.61,77.04,18.496,20.13,81.93199999999999,73.192,0.03,1.91,2,Delayed,0.2212551534585433,0.04031149793861659,0.5211515559467716,26.808000000000007,2
1,2026-01-15,500.0,460.54,19.02,0.73,0.98,30.21,44.62,29.08,81.65,17.71,11.75,89.19800000000001,84.458,1.62,2.23,1,Delayed,0.03838065194532071,0.05152471083070452,0.3988458927359131,15.542000000000002,2
1,2026-01-16,500.0,405.22,17.45,3.52,2.67,11.38,34.58,30.67,69.31,16.124000000000002,11.12,88.166,85.99600000000001,0.46,0.94,4,On Time,0.2017191977077364,0.1530085959885387,0.4081632653061224,14.00399999999999,1
1,2026-01-17,500.0,468.71,19.21,0.91,2.92,31.05,46.11,27.82,85.87,19.254,13.17,87.876,81.014,0.24,1.23,3,Delayed,0.04737116085372202,0.15200416449765747,0.40618060695780905,18.986000000000004,2
1,2026-01-18,500.0,444.69,17.36,3.4,0.61,19.64,42.36,29.0,77.37,17.904,19.74,81.956,72.43199999999999,0.35,1.13,2,Delayed,0.195852534562212,0.03513824884792627,0.5243863563914568,27.568000000000012,2
1,2026-01-19,500.0,392.72,16.68,4.66,3.07,18.3,39.09,29.11,67.21,18.712,18.27,83.51400000000001,76.24600000000001,1.33,1.95,2,Delayed,0.27937649880095927,0.18405275779376498,0.49402411984208533,23.75399999999999,2
1,2026-01-20,500.0,475.17,17.45,0.92,3.14,17.8,41.65,29.0,72.09,18.55,16.56,84.922,78.888,0.42,1.55,1,Delayed,0.05272206303724929,0.17994269340974214,0.4716604955853033,21.111999999999995,2
1,2026-01-21,500.0,388.49,21.38,4.49,2.73,14.36,35.76,30.31,67.29,17.814,11.79,88.608,82.702,1.94,3.49,2,Highly Delayed,0.21000935453695044,0.12768942937324604,0.39825699229833805,17.298000000000002,1
1,2026-01-22,500.0,422.68,20.15,3.43,0.78,5.64,30.81,31.35,61.06,17.906,13.92,86.518,81.56,0.79,2.64,3,Highly Delayed,0.17022332506203475,0.03870967741935484,0.437378244202853,18.439999999999998,1
1,2026-01-23,500.0,429.73,21.1,3.46,1.99,28.13,49.03,28.36,79.39,17.038,16.21,84.17,79.332,1.84,2.02,3,Delayed,0.16398104265402844,0.0943127962085308,0.48754812319538016,20.668000000000006,2
1,2026-01-24,500.0,439.31,19.79,4.08,1.76,3.85,31.85,30.22,54.08,16.194,12.2,86.992,83.28200000000001,1.04,2.96,1,Highly Delayed,0.2061647296614452,0.08893380495199596,0.4296682397689653,16.71799999999999,0
1,2026-01-25,500.0,444.58,16.15,3.4,0.62,28.63,41.3,28.48,79.58,18.058,15.68,86.582,80.32000000000001,0.78,1.32,1,Delayed,0.2105263157894737,0.038390092879256967,0.46475783982453023,19.679999999999993,2
1,2026-01-26,500.0,414.54,18.31,4.33,1.11,11.82,35.1,29.66,66.85,18.394,16.87,84.352,76.742,1.17,3.1,4,Highly Delayed,0.23648279628618243,0.06062261059530312,0.47839156079854817,23.257999999999996,1
1,2026-01-27,500.0,446.59,16.58,3.27,3.47,18.16,37.92,30.59,71.29,18.494,20.74,81.634,71.512,1.09,1.37,3,Delayed,0.1972255729794934,0.2092882991556092,0.5286231329968905,28.488,2
1,2026-01-28,500.0,473.25,20.21,2.12,1.03,10.53,31.5,30.01,71.87,18.508000000000003,17.92,83.75399999999999,78.976,0.33,0.36,1,On Time,0.10489856506679862,0.05096486887679367,0.49192928516525747,21.024,1
1,2026-01-29,500.0,413.86,19.01,4.09,2.27,1.8,30.13,30.56,54.9,16.84,15.25,84.596,79.588,1.54,1.94,4,Delayed,0.21514992109416095,0.11941083640189373,0.4752259270800872,20.412000000000006,0
1,2026-01-30,500.0,426.48,16.56,3.1,0.13,17.13,38.29,30.43,72.67,17.594,14.01,86.476,82.654,0.03,0.43,4,On Time,0.18719806763285027,0.00785024154589372,0.4432983166687761,17.346000000000004,2
1,2026-01-31,500.0,428.98,16.22,4.2,1.26,8.32,31.8,31.55,66.7,17.324,12.68,87.212,83.806,1.46,3.0,1,Highly Delayed,0.2589395807644883,0.0776818742293465,0.4226103186241834,16.194000000000003,1
1,2026-02-01,500.0,462.29,16.51,0.73,1.86,18.75,42.97,28.13,70.18,16.916,10.06,90.008,83.124,1.85,3.15,4,Highly Delayed,0.044215626892792244,0.11265899454875833,0.3729240806642942,16.876000000000005,2
1,2026-02-02,500.0,432.46,17.94,4.08,0.95,1.43,32.34,31.73,56.31,17.982,12.86,88.296,85.31800000000001,1.73,2.97,2,Highly Delayed,0.22742474916387959,0.052954292084726864,0.4169638804228001,14.681999999999988,0
