planned_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity,equipment_operating_hours,equipment_downtime_hours,average_utilization,average_performance_score,planned_delay_hours,actual_delay_hours,blast_count,downtime_ratio,blasting_delay_ratio,equipment_downtime_ratio,equipment_performance_risk,rainfall_risk,actual_production
500.0,20.25,0.59,3.39,13.11,34.3,30.01,67.64,17.072,17.35,83.304,78.024,0.75,2.65,3,0.0291358024691358,0.1674074074074074,0.5040381151589101,21.976,1,459.27
500.0,19.15,2.44,1.02,24.78,46.13,28.05,78.93,15.608,18.6,81.25399999999999,72.34,1.56,2.75,2,0.1274151436031331,0.0532637075718015,0.543732460243218,27.66,2,425.05
500.0,20.71,1.4,1.8,6.36,30.99,29.44,52.89,18.592,24.85,78.75,68.70599999999999,0.31,0.43,4,0.0676001931434089,0.0869145340415258,0.5720270705768611,31.29400000000001,1,428.8
500.0,16.59,3.58,1.54,10.19,36.53,28.97,65.12,17.268,16.3,84.956,79.848,0.67,0.95,3,0.215792646172393,0.0928270042194092,0.4855815061963776,20.152,1,434.58
500.0,19.98,1.9,1.82,10.23,33.24,27.84,62.31,17.59,14.34,86.146,81.252,0.04,1.98,4,0.095095095095095,0.091091091091091,0.4491074224866896,18.748000000000005,1,464.4
500.0,17.63,4.23,1.25,18.0,40.89,28.66,71.53,17.036,14.17,86.066,80.628,1.88,1.88,4,0.239931934203063,0.0709018718094157,0.454079343715952,19.372,2,412.09
500.0,20.37,3.97,0.26,21.26,40.62,29.82,75.01,17.468,14.04,86.476,78.99600000000001,0.37,0.98,2,0.1948944526264114,0.0127638684339715,0.44560111717659,21.00399999999999,2,453.52
500.0,17.95,3.78,2.23,15.41,36.74,29.45,65.69,16.142000000000003,13.25,86.828,82.116,0.01,0.06,3,0.2105849582172702,0.124233983286908,0.4508029395753946,17.884,2,425.98
500.0,19.37,3.97,1.73,1.2,28.32,31.27,52.29,17.064,18.24,82.622,76.116,1.22,1.5,4,0.2049561177077955,0.0893133711925658,0.5166553365057783,23.884,0,415.58
500.0,19.05,4.58,0.87,18.2,42.02,27.85,71.97,18.47,11.0,89.476,83.49199999999999,1.95,2.41,2,0.2404199475065616,0.0456692913385826,0.3732609433322023,16.50800000000001,2,433.56
