mine_id,blast_date,planned_delay_hours,actual_delay_hours,blast_count,status
1,2026-01-01,0.75,2.65,3,Highly Delayed
1,2026-01-02,1.56,2.75,2,Highly Delayed
1,2026-01-03,0.31,0.43,4,On Time
1,2026-01-04,0.67,0.95,3,On Time
1,2026-01-05,0.04,1.98,4,Delayed
1,2026-01-06,1.88,1.88,4,Delayed
1,2026-01-07,0.37,0.98,2,On Time
1,2026-01-08,0.01,0.06,3,On Time
1,2026-01-09,1.22,1.5,4,Delayed
1,2026-01-10,1.95,2.41,2,Delayed
1,2026-01-11,1.57,1.97,3,Delayed
1,2026-01-12,1.97,2.9,1,Highly Delayed
1,2026-01-13,1.22,1.56,3,Delayed
1,2026-01-14,0.03,1.91,2,Delayed
1,2026-01-15,1.62,2.23,1,Delayed
1,2026-01-16,0.46,0.94,4,On Time
1,2026-01-17,0.24,1.23,3,Delayed
1,2026-01-18,0.35,1.13,2,Delayed
1,2026-01-19,1.33,1.95,2,Delayed
1,2026-01-20,0.42,1.55,1,Delayed
1,2026-01-21,1.94,3.49,2,Highly Delayed
1,2026-01-22,0.79,2.64,3,Highly Delayed
1,2026-01-23,1.84,2.02,3,Delayed
1,2026-01-24,1.04,2.96,1,Highly Delayed
1,2026-01-25,0.78,1.32,1,Delayed
1,2026-01-26,1.17,3.1,4,Highly Delayed
1,2026-01-27,1.09,1.37,3,Delayed
1,2026-01-28,0.33,0.36,1,On Time
1,2026-01-29,1.54,1.94,4,Delayed
1,2026-01-30,0.03,0.43,4,On Time
1,2026-01-31,1.46,3.0,1,Highly Delayed
1,2026-02-01,1.85,3.15,4,Highly Delayed
1,2026-02-02,1.73,2.97,2,Highly Delayed
1,2026-02-03,0.19,0.93,2,On Time
1,2026-02-04,0.65,2.11,4,Delayed
1,2026-02-05,0.55,1.67,3,Delayed
1,2026-02-06,0.24,1.67,1,Delayed
1,2026-02-07,1.44,1.92,2,Delayed
1,2026-02-08,0.99,2.03,3,Delayed
1,2026-02-09,0.22,1.1,3,Delayed
1,2026-02-10,0.06,1.34,4,Delayed
1,2026-02-11,1.13,2.52,1,Highly Delayed
1,2026-02-12,0.5,1.32,3,Delayed
1,2026-02-13,0.41,2.29,3,Delayed
1,2026-02-14,0.58,0.9,2,On Time
1,2026-02-15,1.25,1.84,1,Delayed
1,2026-02-16,1.74,3.35,4,Highly Delayed
1,2026-02-17,0.83,2.6,4,Highly Delayed
1,2026-02-18,1.61,3.41,3,Highly Delayed
1,2026-02-19,1.81,2.36,3,Delayed
