equipment_id,record_date,operating_hours,downtime_hours,utilization_percent,performance_score
1,2026-01-01,17.0,5.73,74.79,65.28
1,2026-01-02,15.25,1.36,91.82,93.68
1,2026-01-03,14.46,5.26,73.32,67.53
1,2026-01-04,14.16,5.83,70.83,61.46
1,2026-01-05,20.66,1.67,92.53,87.8
1,2026-01-06,16.43,3.39,82.92,74.75
1,2026-01-07,17.46,2.1,89.25,82.01
1,2026-01-08,16.34,2.51,86.66,82.57
1,2026-01-09,17.65,4.82,78.55,69.12
1,2026-01-10,18.74,0.76,96.12,90.34
1,2026-01-11,18.86,1.44,92.92,88.24
1,2026-01-12,19.47,2.92,86.96,80.24
1,2026-01-13,14.98,3.22,82.29,78.31
1,2026-01-14,16.49,3.36,83.07,72.69
1,2026-01-15,18.37,1.52,92.37,91.56
1,2026-01-16,14.71,1.58,90.31,87.67
1,2026-01-17,14.36,2.29,86.25,77.24
1,2026-01-18,20.63,2.46,89.34,82.25
1,2026-01-19,16.25,3.48,82.34,76.34
1,2026-01-20,14.6,5.93,71.12,58.11
1,2026-01-21,20.18,1.59,92.68,92.59
1,2026-01-22,20.17,0.91,95.7,96.67
1,2026-01-23,16.87,1.14,93.68,92.4
1,2026-01-24,16.65,0.85,95.14,96.37
1,2026-01-25,16.49,2.29,87.81,85.67
1,2026-01-26,21.1,3.1,87.2,85.07
1,2026-01-27,14.96,4.42,77.18,69.42
1,2026-01-28,20.17,3.22,86.25,84.43
1,2026-01-29,18.18,2.85,86.44,81.0
1,2026-01-30,16.51,3.3,83.36,75.87
1,2026-01-31,21.26,1.87,91.91,92.6
1,2026-02-01,15.83,0.92,94.49,91.09
1,2026-02-02,16.32,1.39,92.17,92.14
1,2026-02-03,20.43,1.53,93.05,90.98
1,2026-02-04,21.14,3.47,85.91,76.87
1,2026-02-05,15.82,2.85,84.74,78.06
1,2026-02-06,20.54,5.23,79.7,69.24
1,2026-02-07,17.34,1.72,90.97,86.82
1,2026-02-08,14.96,2.36,86.39,81.19
1,2026-02-09,18.15,4.37,80.61,73.09
1,2026-02-10,16.91,5.84,74.31,56.87
1,2026-02-11,16.28,0.7,95.86,94.38
1,2026-02-12,18.88,3.26,85.25,78.15
1,2026-02-13,15.16,3.19,82.61,77.13
1,2026-02-14,21.89,1.83,92.28,92.04
1,2026-02-15,15.9,4.51,77.92,71.17
1,2026-02-16,16.94,3.98,80.99,74.79
1,2026-02-17,14.72,5.09,74.29,70.68
1,2026-02-18,16.57,1.53,91.57,88.81
1,2026-02-19,19.42,0.59,97.05,94.35
1,2026-02-20,18.1,1.75,91.2,84.52
1,2026-02-21,19.53,2.63,88.14,84.31
1,2026-02-22,21.49,1.26,94.48,89.62
1,2026-02-23,21.4,5.33,80.07,68.45
1,2026-02-24,16.06,4.13,79.55,71.97
1,2026-02-25,18.24,1.83,90.88,91.14
1,2026-02-26,14.74,5.43,73.07,62.98
1,2026-02-27,16.71,2.42,87.35,84.85
1,2026-02-28,19.81,5.43,78.47,68.36
1,2026-03-01,19.14,0.96,95.21,94.32
1,2026-03-02,15.29,5.44,73.75,63.75
1,2026-03-03,14.04,1.38,91.02,86.11
1,2026-03-04,18.39,4.31,81.03,68.84
1,2026-03-05,19.7,1.8,91.61,89.97
1,2026-03-06,16.6,4.61,78.28,71.96
1,2026-03-07,19.26,3.63,84.16,78.14
1,2026-03-08,14.75,2.52,85.4,77.68
1,2026-03-09,21.78,2.66,89.11,81.34
1,2026-03-10,21.14,3.97,84.18,76.28
1,2026-03-11,18.62,3.21,85.3,83.24
1,2026-03-12,15.56,4.47,77.67,65.51
1,2026-03-13,21.52,5.75,78.93,68.88
1,2026-03-14,21.32,2.54,89.37,85.72
1,2026-03-15,21.71,5.19,80.7,70.1
1,2026-03-16,16.36,2.62,86.2,79.63
1,2026-03-17,15.36,3.56,81.17,76.61
1,2026-03-18,21.49,4.33,83.24,71.93
1,2026-03-19,18.92,5.95,76.09,64.66
1,2026-03-20,15.12,3.35,81.86,76.23
1,2026-03-21,19.58,4.36,81.77,74.73
1,2026-03-22,16.88,2.11,88.86,86.18
1,2026-03-23,20.94,5.52,79.13,69.62
1,2026-03-24,18.09,3.26,84.74,79.93
1,2026-03-25,19.62,4.88,80.09,73.74
1,2026-03-26,21.12,2.36,89.95,82.92
1,2026-03-27,18.63,0.7,96.39,94.28
1,2026-03-28,17.72,3.48,83.57,78.66
1,2026-03-29,14.24,0.71,95.28,89.03
1,2026-03-30,20.58,2.48,89.24,84.47
1,2026-03-31,20.16,1.69,92.28,85.67
1,2026-04-01,18.98,0.97,95.14,93.34
1,2026-04-02,18.33,4.01,82.06,72.09
1,2026-04-03,19.81,5.87,77.15,59.34
1,2026-04-04,20.36,1.99,91.1,87.68
1,2026-04-05,17.51,0.93,94.95,94.6
1,2026-04-06,17.27,1.45,92.24,91.93
1,2026-04-07,15.25,1.88,89.05,90.59
1,2026-04-08,19.28,2.04,90.43,87.57
1,2026-04-09,21.64,4.56,82.6,79.85
1,2026-04-10,17.36,1.86,90.31,89.68
1,2026-04-11,16.85,4.67,78.3,70.3
1,2026-04-12,17.79,1.04,94.49,94.74
1,2026-04-13,17.93,3.1,85.24,78.28
1,2026-04-14,17.19,3.89,81.56,70.04
1,2026-04-15,19.08,0.75,96.22,99.05
1,2026-04-16,18.03,5.21,77.57,62.85
1,2026-04-17,19.27,1.4,93.24,91.05
1,2026-04-18,14.21,3.72,79.25,70.0
1,2026-04-19,21.52,3.67,85.45,82.88
1,2026-04-20,17.67,3.5,83.46,72.75
1,2026-04-21,21.53,2.62,89.14,84.73
1,2026-04-22,14.57,2.25,86.6,80.22
1,2026-04-23,20.76,0.63,97.06,94.04
1,2026-04-24,14.95,4.33,77.53,71.41
1,2026-04-25,19.03,5.33,78.13,69.92
1,2026-04-26,16.26,1.48,91.68,90.61
1,2026-04-27,20.0,4.94,80.2,70.27
1,2026-04-28,16.98,4.77,78.06,68.88
1,2026-04-29,16.73,5.62,74.85,62.96
1,2026-04-30,20.01,4.65,81.14,75.14
1,2026-05-01,14.82,5.46,73.07,66.06
1,2026-05-02,16.56,5.43,75.32,64.54
1,2026-05-03,17.11,0.56,96.83,96.69
1,2026-05-04,21.6,3.65,85.53,77.84
1,2026-05-05,19.05,2.97,86.53,77.58
1,2026-05-06,19.38,4.64,80.69,67.77
1,2026-05-07,20.33,4.84,80.76,71.04
1,2026-05-08,14.46,3.52,80.41,70.68
1,2026-05-09,17.53,5.38,76.51,63.27
1,2026-05-10,15.14,4.69,76.36,66.02
1,2026-05-11,18.95,1.06,94.72,93.34
1,2026-05-12,14.58,5.02,74.39,62.83
1,2026-05-13,19.65,0.95,95.4,89.16
1,2026-05-14,20.5,5.71,78.22,62.57
1,2026-05-15,21.89,4.64,82.5,71.06
1,2026-05-16,20.22,3.57,84.99,77.2
1,2026-05-17,17.39,5.48,76.03,65.0
1,2026-05-18,14.09,3.08,82.07,72.91
1,2026-05-19,14.45,1.15,92.61,91.27
1,2026-05-20,19.97,3.71,84.34,74.44
1,2026-05-21,21.7,2.56,89.44,86.39
1,2026-05-22,15.79,5.8,73.14,60.34
1,2026-05-23,14.1,5.83,70.73,59.73
1,2026-05-24,14.59,3.55,80.45,73.39
1,2026-05-25,21.75,3.38,86.56,84.16
1,2026-05-26,17.64,3.95,81.7,76.67
1,2026-05-27,18.67,5.46,77.39,73.05
1,2026-05-28,16.22,1.53,91.36,85.86
1,2026-05-29,17.71,2.44,87.88,80.71
1,2026-05-30,21.8,5.92,78.63,67.23
1,2026-05-31,19.59,3.45,85.03,80.98
1,2026-06-01,19.48,1.39,93.32,88.8
1,2026-06-02,21.29,5.02,80.91,66.9
1,2026-06-03,21.46,5.26,80.31,75.27
1,2026-06-04,14.36,0.65,95.7,97.95
1,2026-06-05,21.9,1.33,94.29,90.22
1,2026-06-06,18.75,2.59,87.84,82.31
1,2026-06-07,17.32,2.0,89.63,89.34
1,2026-06-08,14.45,5.26,73.33,62.83
1,2026-06-09,20.15,5.7,77.96,66.71
1,2026-06-10,20.8,1.86,91.79,84.87
1,2026-06-11,21.63,3.83,84.95,76.85
1,2026-06-12,15.83,4.19,79.05,66.06
1,2026-06-13,14.91,4.19,78.05,73.49
1,2026-06-14,18.16,4.75,79.28,73.32
1,2026-06-15,18.42,3.59,83.7,76.74
1,2026-06-16,21.01,2.72,88.54,85.04
1,2026-06-17,19.63,1.67,92.15,92.92
1,2026-06-18,15.09,0.58,96.3,98.31
1,2026-06-19,17.14,2.91,85.5,74.41
1,2026-06-20,21.23,2.42,89.79,89.46
1,2026-06-21,17.17,3.92,81.41,73.79
1,2026-06-22,20.9,5.72,78.5,61.95
1,2026-06-23,17.67,5.89,75.0,63.06
1,2026-06-24,17.94,2.31,88.6,80.07
1,2026-06-25,14.61,1.21,92.36,91.95
1,2026-06-26,15.02,1.34,91.84,90.27
1,2026-06-27,15.46,2.4,86.55,78.93
1,2026-06-28,21.17,3.11,87.2,78.03
1,2026-06-29,15.54,0.72,95.54,95.61
2,2026-01-01,15.35,2.03,88.31,83.92
2,2026-01-02,15.65,2.5,86.21,78.1
2,2026-01-03,18.03,4.3,80.75,70.06
2,2026-01-04,20.99,5.56,79.04,68.56
2,2026-01-05,14.49,2.02,87.75,85.55
2,2026-01-06,15.48,1.65,90.36,89.33
2,2026-01-07,16.96,3.16,84.28,73.4
2,2026-01-08,17.7,4.61,79.33,74.21
2,2026-01-09,14.29,1.89,88.33,86.28
2,2026-01-10,18.09,3.43,84.08,78.16
2,2026-01-11,14.86,2.96,83.38,72.64
2,2026-01-12,16.15,2.58,86.25,81.71
2,2026-01-13,14.16,2.27,86.18,79.69
2,2026-01-14,14.96,5.4,73.48,59.44
2,2026-01-15,18.75,4.24,81.57,73.08
2,2026-01-16,14.7,3.45,80.97,78.5
2,2026-01-17,18.69,4.6,80.25,67.94
2,2026-01-18,16.27,2.5,86.7,81.13
2,2026-01-19,19.17,3.64,84.04,72.57
2,2026-01-20,14.81,1.34,91.7,90.71
2,2026-01-21,15.97,1.38,92.03,87.48
2,2026-01-22,15.39,5.43,73.91,60.45
2,2026-01-23,14.64,3.38,81.22,75.27
2,2026-01-24,14.9,2.69,84.71,79.19
2,2026-01-25,21.76,5.26,80.53,68.28
2,2026-01-26,15.37,4.18,78.63,72.54
2,2026-01-27,21.44,3.56,85.75,73.62
2,2026-01-28,20.16,1.53,92.95,91.52
2,2026-01-29,16.59,2.84,85.38,74.82
2,2026-01-30,14.92,3.86,79.45,71.88
2,2026-01-31,16.31,3.7,81.52,73.93
2,2026-02-01,18.26,0.79,95.88,90.68
2,2026-02-02,16.69,1.24,93.09,93.63
2,2026-02-03,16.04,4.25,79.06,68.83
2,2026-02-04,20.08,3.78,84.17,69.21
2,2026-02-05,16.79,5.61,74.95,61.33
2,2026-02-06,20.64,5.81,78.05,67.54
2,2026-02-07,21.51,1.5,93.49,88.69
2,2026-02-08,14.53,4.58,76.05,70.4
2,2026-02-09,15.12,4.87,75.62,66.64
2,2026-02-10,15.61,1.4,91.77,90.15
2,2026-02-11,19.32,3.38,85.12,77.11
2,2026-02-12,16.87,5.32,76.01,68.96
2,2026-02-13,17.51,2.57,87.19,80.82
2,2026-02-14,17.7,2.16,89.14,84.88
2,2026-02-15,15.86,5.45,74.43,68.56
2,2026-02-16,17.07,3.49,83.03,76.76
2,2026-02-17,14.94,5.67,72.49,63.46
2,2026-02-18,19.02,2.34,89.04,85.37
2,2026-02-19,18.96,3.43,84.67,76.55
2,2026-02-20,21.15,4.84,81.39,70.33
2,2026-02-21,15.99,4.59,77.69,65.96
2,2026-02-22,14.27,3.63,79.7,73.87
2,2026-02-23,16.74,5.02,76.94,67.9
2,2026-02-24,14.89,5.16,74.27,63.15
2,2026-02-25,20.38,1.32,93.9,88.31
2,2026-02-26,15.83,4.47,77.98,71.64
2,2026-02-27,19.55,3.48,84.87,81.97
2,2026-02-28,16.01,2.4,86.96,76.82
2,2026-03-01,17.7,5.71,75.6,68.67
2,2026-03-02,15.23,3.72,80.35,80.24
2,2026-03-03,14.14,5.3,72.76,62.55
2,2026-03-04,21.46,3.61,85.6,79.83
2,2026-03-05,19.66,1.34,93.62,91.62
2,2026-03-06,18.61,3.84,82.91,80.01
2,2026-03-07,21.47,5.59,79.34,66.63
2,2026-03-08,17.61,1.12,94.01,91.93
2,2026-03-09,18.73,2.69,87.42,85.32
2,2026-03-10,14.44,2.34,86.03,78.31
2,2026-03-11,18.3,5.56,76.7,60.62
2,2026-03-12,16.77,2.41,87.44,81.62
2,2026-03-13,15.8,2.99,84.09,83.12
2,2026-03-14,15.13,1.47,91.14,80.11
2,2026-03-15,21.32,2.49,89.53,84.38
2,2026-03-16,18.64,3.98,82.42,73.66
2,2026-03-17,14.68,5.98,71.05,55.76
2,2026-03-18,18.02,3.77,82.68,75.17
2,2026-03-19,15.68,5.44,74.24,63.29
2,2026-03-20,15.64,1.55,90.99,87.79
2,2026-03-21,18.52,0.86,95.56,92.2
2,2026-03-22,20.2,2.99,87.1,73.16
2,2026-03-23,17.21,3.58,82.78,78.9
2,2026-03-24,15.24,1.5,91.04,83.81
2,2026-03-25,19.15,2.75,87.45,79.62
2,2026-03-26,14.2,1.36,91.27,91.36
2,2026-03-27,14.22,1.72,89.2,89.58
2,2026-03-28,15.85,4.2,79.07,69.1
2,2026-03-29,19.22,1.81,91.39,89.24
2,2026-03-30,14.8,1.84,88.95,87.41
2,2026-03-31,20.64,2.68,88.49,84.46
2,2026-04-01,19.34,1.63,92.24,90.76
2,2026-04-02,14.1,0.97,93.56,90.69
2,2026-04-03,15.66,0.65,96.04,95.73
2,2026-04-04,17.37,5.41,76.25,61.68
2,2026-04-05,20.54,2.38,89.62,82.74
2,2026-04-06,18.72,1.97,90.46,82.29
2,2026-04-07,18.99,2.75,87.35,75.6
2,2026-04-08,16.36,5.72,74.1,67.76
2,2026-04-09,20.11,1.27,94.06,91.4
2,2026-04-10,21.16,4.9,81.2,74.71
2,2026-04-11,17.4,0.62,96.54,96.22
2,2026-04-12,19.07,1.92,90.86,81.89
2,2026-04-13,15.11,5.09,74.8,64.67
2,2026-04-14,15.37,2.0,88.5,85.55
2,2026-04-15,14.15,5.53,71.9,61.43
2,2026-04-16,16.19,3.55,82.03,72.0
2,2026-04-17,19.21,5.06,79.14,69.78
2,2026-04-18,18.8,4.16,81.89,76.53
2,2026-04-19,15.4,5.53,73.58,57.0
2,2026-04-20,18.15,0.76,95.99,90.63
2,2026-04-21,15.33,4.56,77.08,68.52
2,2026-04-22,15.96,2.64,85.8,78.25
2,2026-04-23,16.31,2.46,86.91,79.07
2,2026-04-24,18.53,3.12,85.6,82.52
