production_date,mine_id,planned_production,actual_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity
2026-01-01,1,500,459.27,20.25,0.59,3.39,13.11,34.3,30.01,67.64
2026-01-02,1,500,425.05,19.15,2.44,1.02,29.14,45.78,27.56,79.51
2026-01-03,1,500,428.8,20.71,1.4,1.8,21.41,41.06,28.12,72.16
2026-01-04,1,500,434.58,16.59,3.58,1.54,20.73,41.72,28.41,71.86
2026-01-05,1,500,464.4,19.98,1.9,1.82,4.27,29.71,30.57,58.16
2026-01-06,1,500,412.09,17.63,4.23,1.25,19.13,40.87,29.97,69.19
2026-01-07,1,500,453.52,20.37,3.97,0.26,9.83,32.13,30.15,65.6
2026-01-08,1,500,425.98,17.95,3.78,2.23,12.55,33.14,30.85,65.76
2026-01-09,1,500,415.58,19.37,3.97,1.73,31.05,46.11,27.82,85.87
2026-01-10,1,500,433.56,19.05,4.58,0.87,18.3,39.09,29.11,67.21
2026-01-11,1,500,409.89,16.97,4.68,2.83,14.36,35.76,30.31,67.29
2026-01-12,1,500,452.41,21.38,1.93,0.39,22.17,42.92,29.1,79.07
2026-01-13,1,500,473.34,17.33,1.04,1.18,7.98,35.73,29.91,54.21
2026-01-14,1,500,416.27,21.83,4.83,0.88,33.0,49.88,25.68,81.87
2026-01-15,1,500,460.54,19.02,0.73,0.98,17.4,37.17,28.27,70.97
2026-01-16,1,500,405.22,17.45,3.52,2.67,31.79,47.51,27.4,84.63
2026-01-17,1,500,468.71,19.21,0.91,2.92,8.32,31.8,31.55,66.7
2026-01-18,1,500,444.69,17.36,3.4,0.61,11.23,38.71,30.75,65.13
2026-01-19,1,500,392.72,16.68,4.66,3.07,24.18,44.96,28.42,75.6
2026-01-20,1,500,475.17,17.45,0.92,3.14,9.03,35.96,30.62,67.22
2026-01-21,1,500,388.49,21.38,4.49,2.73,31.51,45.6,29.04,87.26
2026-01-22,1,500,422.68,20.15,3.43,0.78,22.47,43.06,29.6,75.75
2026-01-23,1,500,429.73,21.1,3.46,1.99,24.93,42.7,27.38,79.74
2026-01-24,1,500,439.31,19.79,4.08,1.76,3.28,27.39,29.9,60.59
2026-01-25,1,500,444.58,16.15,3.4,0.62,20.19,38.31,28.95,70.28
2026-01-26,1,500,414.54,18.31,4.33,1.11,32.92,49.15,28.45,83.27
2026-01-27,1,500,446.59,16.58,3.27,3.47,5.93,33.28,30.5,62.23
2026-01-28,1,500,473.25,20.21,2.12,1.03,4.9,33.3,30.56,62.03
2026-01-29,1,500,413.86,19.01,4.09,2.27,28.33,47.02,28.42,80.57
2026-01-30,1,500,426.48,16.56,3.1,0.13,24.57,44.43,28.72,73.65
2026-01-31,1,500,428.98,16.22,4.2,1.26,16.3,35.02,29.73,68.42
2026-02-01,1,500,462.29,16.51,0.73,1.86,4.45,34.01,30.68,60.65
2026-02-02,1,500,432.46,17.94,4.08,0.95,18.92,43.03,29.94,72.08
2026-02-03,1,500,429.3,17.5,2.97,2.5,15.36,36.44,31.12,67.82
2026-02-04,1,500,444.78,17.49,2.1,2.65,23.11,43.77,30.34,71.82
2026-02-05,1,500,466.99,18.84,1.28,1.52,0.5,27.85,32.82,55.4
2026-02-06,1,500,427.91,19.76,2.76,3.0,13.95,40.15,30.93,67.17
2026-02-07,1,500,432.86,19.45,2.25,2.25,23.05,42.58,28.76,77.69
2026-02-08,1,500,464.13,21.43,1.38,0.24,16.04,39.8,29.47,70.75
2026-02-09,1,500,442.51,16.14,4.17,0.99,3.53,29.32,30.85,60.83
2026-02-10,1,500,477.03,20.82,1.77,0.62,4.14,32.59,32.04,59.81
2026-02-11,1,500,422.13,21.58,4.36,1.5,26.27,41.5,27.15,76.64
2026-02-12,1,500,431.43,20.96,1.94,3.13,26.28,44.27,28.63,78.69
2026-02-13,1,500,464.78,18.69,1.82,1.15,13.62,36.31,29.02,73.0
2026-02-14,1,500,421.96,19.3,2.49,3.11,23.54,44.84,29.31,74.09
2026-02-15,1,500,447.83,20.93,3.68,0.28,12.28,37.21,31.13,64.75
2026-02-16,1,500,451.71,16.5,4.0,1.95,2.97,32.24,30.23,55.68
2026-02-17,1,500,453.33,16.71,1.03,2.27,14.85,37.05,29.51,66.32
2026-02-18,1,500,419.88,21.21,1.51,3.37,26.11,45.96,28.48,74.16
2026-02-19,1,500,447.12,19.14,3.33,2.44,0.43,28.42,31.94,56.8
2026-02-20,1,500,465.97,19.72,1.75,0.66,15.91,40.74,31.23,68.99
2026-02-21,1,500,443.06,20.88,3.58,0.57,16.23,40.61,27.57,63.87
2026-02-22,1,500,452.91,21.2,0.7,0.09,31.88,50.21,29.29,85.79
2026-02-23,1,500,427.65,21.05,4.27,1.64,13.18,37.16,28.59,67.88
2026-02-24,1,500,419.6,22.0,4.98,1.94,14.52,37.22,29.49,68.84
2026-02-25,1,500,429.14,20.03,3.28,1.25,26.91,44.87,26.71,75.12
2026-02-26,1,500,462.1,21.11,2.98,1.96,3.97,31.07,32.65,58.92
2026-02-27,1,500,458.66,17.28,1.11,0.05,30.68,45.9,27.66,87.08
2026-02-28,1,500,434.11,18.09,2.81,2.74,12.27,32.51,31.22,68.7
2026-03-01,1,500,436.61,17.55,2.57,3.43,13.88,38.98,29.94,67.45
2026-03-02,1,500,463.69,16.77,1.08,0.53,17.24,41.45,27.83,70.15
2026-03-03,1,500,451.98,18.84,3.5,0.6,4.86,28.96,31.0,61.62
2026-03-04,1,500,443.41,18.19,2.77,2.42,6.73,30.74,29.77,56.75
2026-03-05,1,500,474.22,20.49,1.33,0.73,1.38,29.92,32.07,58.79
2026-03-06,1,500,453.18,20.48,0.67,0.88,12.97,41.18,29.39,64.79
2026-03-07,1,500,434.92,18.68,2.9,0.85,24.97,44.29,29.47,74.55
2026-03-08,1,500,448.13,17.96,1.04,3.12,9.42,33.75,30.01,60.3
2026-03-09,1,500,422.76,19.22,3.14,2.61,20.78,43.61,29.58,71.08
2026-03-10,1,500,422.75,19.42,2.1,3.45,15.11,37.04,28.82,72.78
2026-03-11,1,500,448.17,16.96,1.34,1.0,21.2,41.06,28.64,72.71
2026-03-12,1,500,443.05,21.19,4.18,0.9,6.07,26.94,31.08,61.63
2026-03-13,1,500,460.92,17.68,3.96,0.65,5.98,32.94,30.61,66.51
2026-03-14,1,500,449.69,19.66,1.8,2.03,11.33,35.92,27.13,63.82
2026-03-15,1,500,454.69,16.81,0.79,3.46,5.4,37.08,28.85,59.42
2026-03-16,1,500,454.88,19.57,2.62,1.44,11.28,34.13,30.63,68.47
2026-03-17,1,500,464.43,21.05,1.13,2.78,12.21,36.28,29.87,67.45
2026-03-18,1,500,454.1,19.14,2.11,3.07,7.06,31.95,29.98,62.98
2026-03-19,1,500,412.96,17.81,3.86,1.76,13.74,36.43,30.93,65.33
2026-03-20,1,500,454.44,19.75,1.03,3.29,8.13,32.8,31.01,64.99
2026-03-21,1,500,416.31,19.2,4.52,2.76,21.97,40.53,28.4,76.3
2026-03-22,1,500,453.46,21.26,2.04,2.87,5.31,29.27,29.65,64.31
2026-03-23,1,500,435.58,20.33,3.74,2.24,3.87,33.09,30.17,57.2
2026-03-24,1,500,424.27,21.45,3.13,1.4,24.29,40.52,28.85,73.68
2026-03-25,1,500,418.2,21.23,4.69,1.98,16.17,38.87,32.03,68.94
2026-03-26,1,500,416.92,19.64,2.41,2.58,24.38,44.28,29.0,77.7
2026-03-27,1,500,448.1,18.39,0.75,1.17,32.7,49.08,28.51,92.05
2026-03-28,1,500,420.46,18.08,3.82,1.58,28.1,47.97,25.87,79.6
2026-03-29,1,500,423.7,18.51,4.62,1.27,7.86,30.86,30.06,62.06
2026-03-30,1,500,430.03,21.98,2.76,2.08,20.32,39.17,29.48,70.89
2026-03-31,1,500,478.56,17.14,0.66,1.65,2.35,27.96,31.44,56.77
2026-04-01,1,500,449.27,19.36,1.2,0.64,19.77,43.63,26.36,66.56
2026-04-02,1,500,442.68,18.45,0.61,0.55,30.16,47.31,28.51,84.65
2026-04-03,1,500,455.3,20.03,0.59,0.36,25.06,44.11,28.52,75.44
